,Szacowane,Dokładne,błąd bezwzględny [kg],błąd względny [%]
3,13.170195,12.0,1.17,9.75
11,11.19311,11.0,0.19,1.76
13,13.16686,13.0,0.17,1.28
14,13.1724,14.0,0.83,5.91
20,12.901389,12.0,0.9,7.51
21,11.980154,12.0,0.02,0.17
22,10.297447,10.0,0.3,2.97
25,1.8914537,2.0,0.11,5.43
26,2.7168608,3.0,0.28,9.44
29,1.91176,2.0,0.09,4.41
